symbo;name;sector
000977;INSPUR ELECTRONIC INFORMATION INDU;Information Technology
300394;SUZHOU TFC OPTICAL COMMUNICATION L;Information Technology
002938;AVARY HOLDING (SHENZHEN) LTD A;Information Technology
002736;GUOSEN SECURITIES LTD A;Financials
600039;SICHUAN ROAD & BRIDGE LTD A;Industrials
600426;SHANDONG HUALU-HENGSHENG CHEMICAL;Materials
600066;YUTONG BUS LTD A;Industrials
300896;IMEIK TECHNOLOGY DEVELOPMENT LTD A;Health Care
600600;TSINGTAO BREWERY LTD A;Consumer Staples
600176;CHINA JUSHI LTD A;Materials
603799;ZHEJIANG HUAYOU COBALT LTD A;Materials
601021;SPRING AIRLINES LTD A;Industrials
601727;SHANGHAI ELECTRIC GROUP LTD A;Industrials
601117;CHINA NATIONAL CHEMICAL ENGINEERIN;Industrials
603986;GIGADEVICE SEMICONDUCTOR INC A;Information Technology
002920;HUIZHOU DESAY SV AUTOMOTIVE LTD A;Consumer Discretionary
600985;HUAIBEI MINING HOLDINGS LTD A;Materials
600183;SHENGYI TECHNOLOGY LTD A;Information Technology
002466;TIANQI LITHIUM INDUSTRIES CORP A;Materials
601058;SAILUN GROUP LTD A;Consumer Discretionary
601319;THE PEOPLES INSURANCE COMPANY (GRO;Financials
605499;EASTROC BEVERAGE (GROUP) LTD A;Consumer Staples
600362;JIANGXI COPPER LTD A;Materials
000786;BEIJING NEW BUILDING MATERIALS PUB;Industrials
000933;HENAN SHENHUO COAL & POWER LTD A;Materials
600741;HUAYU AUTOMOTIVE SYSTEMS LTD A;Consumer Discretionary
000963;HUADONG MEDICINE LTD A;Health Care
002459;JA SOLAR TECHNOLOGY LTD A;Information Technology
688169;BEIJING ROBOROCK TECHNOLOGY LTD A;Consumer Discretionary
600875;DONGFANG ELECTRIC CORP LTD A;Industrials
000630;TONGLING NONFERROUS METALS GROUP L;Materials
002028;SIEYUAN ELECTRIC LTD A;Industrials
000975;YINTAI GOLD LTD A;Materials
688187;ZHUZHOU CRRC TIMES ELECTRIC LTD A;Industrials
000807;YUNNAN ALUMINIUM LTD A;Materials
300999;YIHAI KERRY ARAWANA HOLDINGS LTD A;Consumer Staples
601567;NINGBO SANXING MEDICAL ELECTRIC LT;Industrials
600161;BEIJING TIANTAN BIOLOGICAL PRODUCT;Health Care
000617;CNPC CAPITAL LTD A;Financials
002625;KUANG-CHI TECHNOLOGIES LTD A;Industrials
603806;HANGZHOU FIRST APPLIED MATERIAL LT;Information Technology
002078;SHANDONG SUNPAPER LTD A;Materials
603939;YIFENG PHARMACY CHAIN LTD A;Consumer Staples
600018;SHANGHAI INTERNATIONAL PORT (GROUP;Industrials
600803;ENN NATURAL GAS LTD A;Utilities
600415;ZHEJIANG CHINA COMMODITIES CITY GR;Consumer Discretionary
000661;CHANGCHUN HIGH & NEW TECHNOLOGY IN;Health Care
002916;SHENNAN CIRCUITS LTD A;Information Technology
002252;SHANGHAI RAAS BLOOD PRODUCTS LTD A;Health Care
600196;SHANGHAI FOSUN PHARMACEUTICAL (GRO;Health Care
603198;ANHUI YINGJIA DISTILLERY CO LID LT;Consumer Staples
600177;YOUNGOR FASHION LTD A;Real Estate
300413;MANGO EXCELLENT MEDIA LTD A;Communication
002422;SICHUAN KELUN PHARMACEUTICAL LTD A;Health Care
002601;LB GROUP LTD A;Materials
300782;MAXSCEND MICROELECTRONICS LTD A;Information Technology
688396;CHINA RESOURCES MICROELECTRONICS L;Information Technology
600918;ZHONGTAI SECURITIES LTD A;Financials
600009;SHANGHAI INTERNATIONAL AIRPORT LTD;Industrials
688599;TRINA SOLAR LTD A;Information Technology
601377;INDUSTRIAL SECURITIES LTD A;Financials
688009;CHINA RAILWAY SIGNAL & COMMUNICATI;Information Technology
000423;DONG-E-E-JIAO LTD A;Health Care
HSBFT;CASH COLLATERAL USD HSBFT;Cash and/or Derivatives
000876;NEW HOPE LIUHE LTD A;Consumer Staples
300628;YEALINK NETWORK TECHNOLOGY LTD A;Information Technology
600584;JCET GROUP LTD A;Information Technology
002129;TCL ZHONGHUAN RENEWABLE ENERGY TEC;Information Technology
300765;CSPC INNOVATION PHARMACEUTICAL LTD;Health Care
688303;XINJIANG DAQO NEW ENERGY LTD A;Information Technology
002049;UNIGROUP GUOXIN MICROELECTRONICS L;Information Technology
300418;KUNLUN TECH LTD A;Communication
601877;ZHEJIANG CHINT ELECTRICS LTD A;Industrials
605117;NINGBO DEYE TECHNOLOGY LTD A;Industrials
600096;YUNNAN YUNTIANHUA LTD A;Materials
000027;SHENZHEN ENERGY GROUP LTD A;Utilities
603260;HOSHINE SILICON INDUSTRY LTD A;Materials
300316;ZHEJIANG JINGSHENG MECHANICAL & EL;Information Technology
600332;GUANGZHOU BAIYUNSHAN PHARMACEUTICA;Health Care
600398;HLA GROUP CORP A;Consumer Discretionary
600219;SHANDONG NANSHAN ALUMINIUM LTD A;Materials
600642;SHENERGY LTD A;Utilities
601168;WESTERN MINING LTD A;Materials
002223;JIANGSU YUYUE MEDICAL EQUIPMENT &;Health Care
002812;YUNNAN ENERGY NEW MATERIALS LTD A;Materials
002074;GOTION HIGH-TECH LTD A;Industrials
603833;OPPEIN HOME GROUP INC A;Consumer Discretionary
002709;GUANGZHOU TINCI MATERIALS TECHNOLO;Materials
601233;TONGKUN GROUP LTD A;Materials
600061;SDIC CAPITAL LTD A;Financials
688777;SUPCON TECHNOLOGY LTD A;Information Technology
600487;HENGTONG OPTIC ELECTRIC LTD A;Information Technology
601238;GUANGZHOU AUTOMOBILE GROUP LTD A;Consumer Discretionary
600745;WINGTECH TECHNOLOGY LTD A;Information Technology
600733;BAIC BLUEPARK NEW ENERGY TECHNOLOG;Consumer Discretionary
300442;RANGE INTELLIGENT COMPUTING TECHNO;Information Technology
002050;ZHEJIANG SANHUA INTELLIGENT CONTRO;Industrials
601077;CHONGQING RURAL COMMERCIAL BANK LT;Financials
601865;FLAT GLASS GROUP LTD A;Information Technology
600515;HAINAN AIRPORT INFRASTRUCTURE LTD;Real Estate
000408;ZANGGE MINING LTD A;Materials
601878;ZHESHANG SECURITIES LTD A;Financials
688065;CATHAY BIOTECH INC A;Materials
601991;DATANG INTERNATIONAL POWER GENERAT;Utilities
600588;YONYOU NETWORK TECHNOLOGY LTD A;Information Technology
002032;ZHEJIANG SUPOR LTD A;Consumer Discretionary
002532;TIANSHAN ALUMINUM GROUP LTD A;Materials
002180;NINESTAR CORP A;Information Technology
600060;HISENSE VISUAL TECHNOLOGY LTD A;Consumer Discretionary
300661;SG MICRO CORP A;Information Technology
600079;HUMANWELL HEALTHCARE (GROUP) LTD A;Health Care
301236;ISOFTSTONE INFORMATION TECHNOLOGY;Information Technology
001965;CHINA MERCHANTS EXPRESSWAY NETWORK;Industrials
601958;JINDUICHENG MOLYBDENUM LTD A;Materials
300866;ANKER INNOVATIONS TECHNOLOGY LTD A;Information Technology
600570;HUNDSUN TECHNOLOGIES INC A;Information Technology
600418;ANHUI JIANGHUAI AUTOMOBILE CORP LT;Consumer Discretionary
002007;HUALAN BIOLOGICAL ENGINEERING INC;Health Care
002600;LINGYI ITECH (GUANGDONG) A;Information Technology
601179;CHINA XD ELECTRIC LTD A;Industrials
300759;PHARMARON BEIJING LTD A;Health Care
688188;SHANGHAI FRIENDESS ELECTRONICS TEC;Information Technology
002603;SHIJIAZHUANG YILING PHARMACEUTICAL;Health Care
600348;SHANXI HUAYANG GROUP NEW ENERGY LT;Energy
002064;HUAFON CHEMICAL LTD A;Materials
002673;WESTERN SECURITIES CO LTD A;Financials
600873;MEIHUA HOLDINGS GROUP LTD A;Consumer Staples
688126;NATIONAL SILICON INDUSTRY GROUP LT;Information Technology
600460;HANGZHOU SILAN MICROELECTRONICS LT;Information Technology
300751;SUZHOU MAXWELL TECHNOLOGIES LTD A;Information Technology
600132;CHONGQING BREWERY LTD A;Consumer Staples
601216;INNER MONGOLIA JUNZHENG ENERGY & C;Materials
000831;CHINA RARE EARTH RESOURCES AND TEC;Materials
002372;ZHEJIANG WEIXING NEW BUILDING MATE;Industrials
002340;GEM LTD A;Materials
601577;BANK OF CHANGSHA LTD A;Financials
600970;SINOMA INTERNATIONAL ENGINEERING L;Industrials
601198;DONGXING SECURITIES CORP LTD A;Financials
002294;SHENZHEN SALUBRIS PHARMACEUTICALS;Health Care
601799;CHANGZHOU XINGYU AUTOMOTIVE LIGHTI;Consumer Discretionary
002850;SHENZHEN KEDALI INDUSTRY LTD A;Consumer Discretionary
601108;CAITONG SECURITIES LTD A;Financials
603899;SHANGHAI M&G STATIONERY INC A;Industrials
002739;WANDA FILM HOLDING LTD A;Communication
603486;ECOVACS ROBOTICS LTD A;Consumer Discretionary
002555;37 INTERACTIVE ENTERTAINMENT NETWO;Communication
603156;HEBEI YANGYUAN ZHIHUI BEVERAGE LTD;Consumer Staples
603659;SHANGHAI PUTAILAI NEW ENERGY TECHN;Materials
000932;HUNAN VALIN STEEL LTD A;Materials
002444;HANG ZHOU GREAT STAR INDUSTRIAL LT;Consumer Discretionary
600895;SHANGHAI ZHANGJIANG HI-TECH PARK D;Real Estate
000988;HUAGONG TECH LTD A;Information Technology
600298;ANGEL YEAST LTD A;Consumer Staples
000800;FAW JIEFANG GROUP LTD A;Industrials
300919;CNGR ADVANCED MATERIAL LTD A;Materials
603568;ZHEJIANG WEIMING ENVIRONMENT PROTE;Industrials
603606;NINGBO ORIENT WIRES & CABLES LTD A;Industrials
600998;JOINTOWN PHARMACEUTICAL GROUP CO L;Health Care
600566;HUBEI JUMPCAN PHARMACEUTICAL LTD A;Health Care
002966;BANK OF SUZHOU LTD A;Financials
600546;SHANXI COAL INTERNATIONAL ENERGY L;Industrials
688122;WESTERN SUPERCONDUCTING TECHNOLOGI;Materials
002595;SHANDONG HIMILE MECHANICAL SCIENCE;Industrials
603658;AUTOBIO DIAGNOSTICS LTD A;Health Care
601696;BOC INTERNATIONAL (CHINA) LTD A;Financials
000066;CHINA GREATWALL TECHNOLOGY GROUP L;Information Technology
002080;SINOMA SCIENCE & TECHNOLOGY LTD A;Materials
600109;SINOLINK SECURITIES LTD A;Financials
000937;JIZHONG ENERGY RESOURCES LTD A;Energy
300146;BY-HEALTH LTD A;Consumer Staples
002202;GOLDWIND SCIENCE&TECHNOLOGY LTD A;Industrials
000728;GUOYUAN SECURITIES LTD A;Financials
300003;LEPU MEDICAL TECHNOLOGY BEIJING LT;Health Care
603816;JASON FURNITURE HANGZHOU LTD;Consumer Discretionary
300251;BEIJING ENLIGHT MEDIA LTD A;Communication
601155;SEAZEN HOLDINGS LTD A;Real Estate
301269;EMPYREAN TECHNOLOGY LTD A;Information Technology
603338;ZHEJIANG DINGLI MACHINERY LTD A;Industrials
002353;YANTAI JEREH OILFIELD SERVICES GRO;Energy
601928;JIANGSU PHOENIX PUBLISHING&MEDIA C;Communication
688072;PIOTECH INC A;Information Technology
601990;NANJING SECURITIES LTD A;Financials
002602;ZHEJIANG CENTURY HUATONG GROUP LTD;Communication
600369;SOUTHWEST SECURITIES LTD A;Financials
300207;SUNWODA ELECTRONIC LTD A;Industrials
002821;ASYMCHEM LABORATORIES (TIANJIN) LT;Health Care
600352;ZHEJIANG LONGSHENG GROUP LTD A;Materials
002756;YONGXING SPECIAL MATERIALS TECHNOL;Materials
601555;SOOCHOW SECURITIES CO LTD A;Financials
002939;CHINA GREATWALL SECURITIES LTD A;Financials
688120;HWATSING TECHNOLOGY LTD A;Information Technology
002409;JIANGSU YOKE TECHNOLOGY LTD A;Materials
300223;INGENIC SEMICONDUCTOR LTD A;Information Technology
603160;SHENZHEN GOODIX TECHNOLOGY LTD A;Information Technology
600497;YUNNAN CHIHONG ZINC&GERMANIUM LTD;Materials
002156;TONGFU MICROELECTRONICS LTD A;Information Technology
600021;SHANGHAI ELECTRIC POWER A;Utilities
002244;HANGZHOU BINJIANG REAL ESTATE GROU;Real Estate
000783;CHANGJIANG SECURITIES LTD A;Financials
000723;SHANXI MEIJIN ENERGY LTD A;Materials
600702;SHEDE SPIRITS LTD A;Consumer Staples
002797;FIRST CAPITAL SECURITIES LTD A;Financials
600157;WINTIME ENERGY GROUP LTD A;Utilities
603589;ANHUI KOUZI DISTILLERY LTD A;Consumer Staples
300699;WEIHAI GUANGWEI COMPOSITES LTD A;Materials
600988;CHIFENG JILONG GOLD MINING LTD A;Materials
600583;OFFSHORE OIL ENGINEERING LTD A;Energy
601966;SHANDONG LINGLONG TYRE CO LTD A;Consumer Discretionary
601231;UNIVERSAL SCIENTIFIC INDUSTRIAL (S;Information Technology
300496;THUNDER SOFTWARE TECHNOLOGY LTD A;Information Technology
002281;ACCELINK TECHNOLOGIES LTD A;Information Technology
600038;AVICOPTER PLC A;Industrials
002152;GRG BANKING EQUIPMENT LTD A;Information Technology
600673;GUANGDONG HEC TECHNOLOGY HOLDING L;Materials
002465;GUANGZHOU HAIGE COMMUNICATIONS GRO;Information Technology
000729;BEIJING YANJING BREWERY LTD A;Consumer Staples
600486;JIANGSU YANGNONG CHEMICAL LTD A;Materials
002185;TIANSHUI HUATIAN TECHNOLOGY LTD A;Information Technology
000009;CHINA BAOAN GROUP LTD A;Industrials
600153;XIAMEN C&D INC A;Industrials
002456;O FILM TECH LTD A;Information Technology
600536;CHINA NATIONAL SOFTWARE & SERVICE;Information Technology
601866;COSCO SHIPPING DEVELOPMENT LTD A;Industrials
688180;SHANGHAI JUNSHI BIOSCIENCES LTD A;Health Care
603596;BETHEL AUTOMOTIVE SAFETY SYSTEMS L;Consumer Discretionary
600511;CHINA NATIONAL MEDICINES CORP LTD;Health Care
688363;BLOOMAGE BIOTECHNOLOGY CORP LTD A;Health Care
300454;SANGFOR TECHNOLOGIES INC A;Information Technology
603345;ANJOY FOODS GROUP LTD A;Consumer Staples
601880;LIAONING PORT LTD A;Industrials
603000;PEOPLE.CN LTD A;Communication
002120;YUNDA HOLDING LTD A;Industrials
600655;SHANGHAI YUYUAN TOURIST MART LTD A;Consumer Discretionary
002568;SHANGHAI BAIRUN INVESTMENT HOLDING;Consumer Staples
600170;SHANGHAI CONSTRUCTION GROUP LTD A;Industrials
300724;SHENZHEN S.C NEW ENERGY TECHNOLOGY;Information Technology
603885;JUNEYAO AIRLINES LTD A;Industrials
000987;GUANGZHOU YUEXIU CAPITAL HOLDINGS;Financials
000738;AECC AERO-ENGINE CONTROL LTD A;Industrials
000513;LIVZON PHARMACEUTICAL GROUP INC A;Health Care
002262;JIANGSU NHWA PHARMACEUTICAL LTD A;Health Care
600704;WUCHAN ZHONGDA GROUP LTD A;Consumer Discretionary
300144;SONGCHENG PERFORMANCE DEVELOPMENT;Consumer Discretionary
300763;GINLONG TECHNOLOGIES LTD A;Industrials
002056;HENGDIAN GROUP DMEGC MAGNETICS LTD;Information Technology
002430;HANGZHOU OXYGEN PLANT GROUP LTD A;Materials
300487;XIAN SUNRESIN NEW MATERIALS LTD A;Materials
603529;AIMA TECHNOLOGY GROUP LTD A;Consumer Discretionary
603707;NANJING KING-FRIEND BIOCHEMICAL PH;Health Care
600004;GUANGZHOU BAIYUN INTERNATIONAL AIR;Industrials
000069;SHENZHEN OVERSEAS CHINESE TOWN LTD;Real Estate
300957;YUNNAN BOTANEE BIO-TECHNOLOGY GROU;Consumer Staples
600072;CSSC SCIENCE & TECHNOLOGY LTD A;Industrials
603737;SKSHU PAINT CO LTD A;Materials
600754;SHANGHAI JIN JIANG INTERNATIONAL H;Consumer Discretionary
000703;HENGYI PETROCHEMICAL LTD A;Materials
688538;EVERDISPLAY OPTRONICS (SHANGHAI) L;Information Technology
002517;KINGNET NETWORK LTD A;Communication
603688;JIANGSU PACIFIC QUARTZ LTD A;Information Technology
600839;SICHUAN CHANGHONG ELECTRIC LTD A;Consumer Discretionary
000683;INNER MONGOLIA YUAN XING ENERGY LT;Materials
600763;TOPCHOICE MEDICAL CORPORATION INC;Health Care
603290;STARPOWER SEMICONDUCTOR LTD A;Information Technology
600598;HEILONGJIANG AGRICULTURE LTD A;Consumer Staples
000960;YUNNAN TIN LTD A;Materials
600606;GREENLAND HOLDINGS GROUP CORPORATI;Real Estate
002738;SINOMINE RESOURCE GROUP LTD A;Materials
000733;CHINA ZHENHUA (GROUP) SCIENCE & TE;Information Technology
600378;HAOHUA CHEMICAL SCIENCE & TECHNOLO;Materials
000709;HBIS COMPANY LTD A;Materials
600705;AVIC INDUSTRY-FINANCE HOLDINGS LTD;Financials
002299;FUJIAN SUNNER DEVELOPMENT LTD A;Consumer Staples
600779;SICHUAN SWELLFUN LTD A;Consumer Staples
603728;SHANGHAI MOON ELECTRIC LTD A;Industrials
000629;PANGANG GROUP VANADIUM TITANIUM&RE;Materials
600848;SHANGHAI LINGANG HOLDINGS LTD A;Real Estate
600516;FANGDA CARBON NEW MATERIAL LTD A;Industrials
601456;GUOLIAN SECURITIES LTD A;Financials
002508;HANGZHOU ROBAM APPLIANCES LTD A;Consumer Discretionary
600732;SHANGHAI AIKO SOLAR ENERGY LTD A;Information Technology
000825;SHANXI TAIGANG STAINLESS STEEL LTD;Materials
600521;ZHEJIANG HUAHAI PHARMACEUTICAL LTD;Health Care
600884;NINGBO SHANSHAN LTD A;Materials
600549;XIAMEN TUNGSTEN LTD A;Materials
600977;CHINA FILM CO LTD A;Communication
600637;ORIENTAL PEARL GROUP LTD A;Communication
600129;CHONGQING TAIJI INDUSTRY (GROUP) L;Health Care
688082;ACM RESEARCH (SHANGHAI) INC A;Information Technology
002841;GUANGZHOU SHIYUAN ELECTRONIC TECHN;Information Technology
002831;SHENZHEN YUTO PACKAGING TECHNOLOGY;Materials
688728;GALAXYCORE INC A;Information Technology
002414;WUHAN GUIDE INFRARED LTD A;Information Technology
300601;SHENZHEN KANGTAI BIOLOGICAL PRODUC;Health Care
600699;NINGBO JOYSON ELECTRONIC CORP A;Consumer Discretionary
002384;SUZHOU DONGSHAN PRECISION MANUFACT;Information Technology
603882;GUANGZHOU KINGMED DIAGNOSTICS GROU;Health Care
601615;MING YANG SMART ENERGY GROUP LTD A;Industrials
603893;ROCKCHIP ELECTRONICS LTD A;Information Technology
002558;GIANT NETWORK GROUP LTD A;Communication
601933;YONGHUI SUPERSTORES LTD A;Consumer Staples
688114;MGI TECH LTD A;Health Care
688561;QI AN XIN TECHNOLOGY GROUP INC A;Information Technology
002271;BEIJING ORIENTAL YUHONG WATERPROOF;Materials
300373;YANGZHOU YANGJIE ELECTRONIC TECHNO;Information Technology
000021;SHENZHEN KAIFA TECHNOLOGY LTD A;Information Technology
300037;SHENZHEN CAPCHEM TECHNOLOGY LTD A;Materials
601162;TIANFENG SECURITIES LTD A;Financials
600380;JOINCARE PHARMACEUTICAL GROUP INDU;Health Care
688099;AMLOGIC (SHANGHAI) LTD A;Information Technology
600100;TSINGHUA TONGFANG LTD A;Information Technology
600166;BEIQI FOTON MOTOR LTD A;Consumer Discretionary
688032;HOYMILES POWER ELECTRONICS INC A;Industrials
603233;DASHENLIN PHARMACEUTICAL GROUP LTD;Consumer Staples
300604;HANGZHOU CHANG CHUAN TECHNOLOGY LT;Information Technology
600872;JONJEE HI-TECH INDUSTRIAL AND COMM;Consumer Staples
300142;WALVAX BIOTECHNOLOGY LTD A;Health Care
002624;PERFECT WORLD LTD A;Communication
603077;SICHUAN HEBANG BIOTECHNOLOGY LTD A;Materials
600563;XIAMEN FARATRONIC LTD A;Information Technology
600499;KEDA INDUSTRIAL GROUP LTD A;Industrials
300390;CANMAX TECHNOLOGIES LTD A;Materials
000591;CECEP SOLAR ENERGY LTD A;Utilities
300118;RISEN ENERGY LTD A;Information Technology
002385;BEIJING DABEINONG TECHNOLOGY GROUP;Consumer Staples
000799;JIUGUI LIQUOR LTD A;Consumer Staples
300347;HANGZHOU TIGERMED CONSULTING LTD A;Health Care
002607;OFFCN EDUCATION TECHNOLOGY LTD A;Consumer Discretionary
000032;SHENZHEN SED INDUSTRY LTD A;Industrials
000050;TIANMA MICROELECTRONICS LTD A;Information Technology
GBP;GBP CASH;Cash and/or Derivatives
603712;TIANJIN COMMUNICATION & BROADCAST;Information Technology
002176;JIANGXI SPECIAL ELECTRIC MOTOR LTD;Industrials
688390;JIANGSU GOODWE POWER SUPPLY TECHNO;Industrials
688220;ASR MICROELECTRONICS LTD A;Information Technology
688301;IRAY TECHNOLOGY LTD A;Health Care
002044;MEINIAN ONEHEALTH HEALTHCARE HOLDI;Health Care
000893;ASIA POTASH INTERNATIONAL INVESTME;Materials
688521;VERISILICON MICROELECTRONICS (SHAN;Information Technology
002240;CHENGXIN LITHIUM GROUP LTD A;Materials
EUR;EUR CASH;Cash and/or Derivatives
MARGIN_EUR;FUTURES EUR MARGIN BALANCE;Cash and/or Derivatives
MCYM4;MSCI CHINA A 50 CONNECT JUN 24;Cash and/or Derivatives